popular_name,candidate_name,ecosystem,jaccard_distance,github_hit_count,example_repo
socks,5socks,npm,0.1999999999999999,1.0,35socks/masteringtool
form-data,6-form-data,npm,0.1999999999999999,1.0,theresa-de-ocampo/nodejs-craig
vue-style-loader,7-style-loader,npm,0.1999999999999999,0.0,
web3-eth-abi,3f-web3-eth-abi,npm,0.2142857142857143,0.0,
babel-plugin-styled-components,@0x706b/babel-plugin-styled-components,npm,0.2162162162162162,0.0,
dd-trace,0-dd-trace,npm,0.2222222222222222,2.0,mckaysalisbury/-dd-trace-init-first-production
conf,2conf,npm,0.25,85.0,microsoft/FluidFramework
diff,2diff,npm,0.25,6.0,KBchulan/LearnNode
flat,2flat,npm,0.25,21.0,James-Yu/LaTeX-Workshop
utf8,2utf8,npm,0.25,23.0,RT-Thread/packages
webpack,2webpack2,npm,0.25,6.0,QingWei-Li/2webpack2
express,3.express,npm,0.25,179.0,LazeBear/jr-fullstack-notes-14.5
base,3base,npm,0.25,54.0,mvila/serverless-plugin-scripts
text-extensions,3d-extensions,npm,0.25,3.0,jamiller619/filejam
web3-utils,3f-web3-utils,npm,0.25,0.0,
electron,3lectron,npm,0.25,1.0,hvvivek/d3lectron
babel-preset-react-app,@0xaio/babel-preset-react-app,npm,0.2692307692307693,0.0,
babel-preset-react-app,@1o1w1/babel-preset-react-app,npm,0.2692307692307693,0.0,
classnames,1-classname,npm,0.2727272727272727,6.0,SaltyAom/one-classname
clipboardy,2-clipboard,npm,0.2727272727272727,27.0,benwinding/svg-2-clipboard
text-extensions,3extensions,npm,0.2727272727272727,0.0,
web3-core,3f-web3-core,npm,0.2727272727272727,0.0,
router,000router,npm,0.2857142857142857,0.0,
pyrr,pyrrr,pypi,0.0,0.0,
pytest-lazy-fixtures,pytest-lazy-fixture,pypi,0.0,1084.0,jina-ai/serve
opentelemetry-instrumentation-urllib3,opentelemetry-instrumentation-urllib,pypi,0.03125,1280.0,Azure/azure-sdk-for-python
djangorestframework-camel-case,djangorestframework-camel-case2,pypi,0.04,0.0,
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu115,pypi,0.0476190476190476,3.0,aseidelo/wiki_generator
llama-index-workflows,llama-index-workflow,pypi,0.05,794.0,realpython/materials
django-cache-memoize,django-cache-memoized,pypi,0.05,1.0,bernd-wechner/CoGs
nvidia-cusparse-cu11,nvidia-cusparse-cu113,pypi,0.0555555555555555,0.0,
opentelemetry-instrumentation-pinecone,opentelemetry-if-instrumentation-pinecone,pypi,0.0625,0.0,
django-enumfields,django-enumfield,pypi,0.0625,175.0,developmentseed/api.work.vote
nvidia-nvtx-cu12,nvidia-nvtx-cu112,pypi,0.0666666666666666,0.0,
aiohttp-swagger3,aiohttp-swagger,pypi,0.0666666666666666,129.0,craftbeerpi/craftbeerpi4
databricks-pypi1,databricks-pypi,pypi,0.0666666666666666,6.0,kfiramar/baldar
nvidia-cudnn-cu12,nvidia-cudnn-cu112,pypi,0.0666666666666666,0.0,
nvidia-nvtx-cu11,nvidia-nvtx-cu115,pypi,0.0666666666666666,0.0,
agent-framework-azurefunctions,azurefunctions-agent-framework,pypi,0.0666666666666666,0.0,
pydantic-partial,pydantic-partials,pypi,0.0666666666666666,2.0,TeddyMuli/django-oauth2
nvidia-cudnn-cu11,nvidia-cudnn-cu110,pypi,0.0666666666666666,0.0,
spotinst-agent,spotinst-agent-2,pypi,0.0714285714285714,4.0,kfiramar/baldar
cuequivariance-ops-torch-cu12,cuequivariance-ops-torch-cu13,pypi,0.0714285714285714,1.0,NVIDIA-BioNeMo/BioNeMo-Inference-Runtime
requests-html,requests-htmlc,pypi,0.0769230769230768,1.0,Sergeileduc/barmanbot
workspace-mcp,gworkspace-mcp,pypi,0.0769230769230768,0.0,
pyapns-client,pyapns-client3,pypi,0.0769230769230768,0.0,
django-pglocks,django-pglock,pypi,0.0769230769230768,128.0,netbox-community/netbox
pydantic-evals,pydantic-eval,pypi,0.0769230769230768,450.0,galaxyproject/galaxy
elasticsearch,elasticsearch6,pypi,0.0769230769230768,24.0,bytedance/fedlearner
sphinx-design,sphinx-design2,pypi,0.0769230769230768,2.0,sldriedler/mltk
gender-guesser,gender-guess,pypi,0.0833333333333333,638.0,pybites/challenges
snowpark-connect-deps-1,snowpark-connect-deps-2,pypi,0.0869565217391304,0.0,
pytest-html,pytest-htmlx,pypi,0.0909090909090909,1.0,lrvdnagasai/resume_builder_automation
python-pptx,python-pptx2,pypi,0.0909090909090909,0.0,
cryptography,cryptograph,pypi,0.0909090909090909,515072.0,offu/WeRoBot
django-enum,django-enums,pypi,0.0909090909090909,0.0,
tensorboard,tensorboardY,pypi,0.0909090909090909,0.0,
types-aiobotocore-elbv2,types-aiobotocore-elb,pypi,0.0909090909090909,2.0,Rohanrn9882/DemoTesting
electron,3electron,npm,0.125,3.0,kujirahand/nadesiko3electron
electron,4electron,npm,0.125,21.0,KBchulan/LearnNode
react-router,07-react-router,npm,0.1538461538461538,108.0,mabdullahjs/SMIT-BATCH-11
router,8router,npm,0.1666666666666666,14.0,AuncelFan/98TrackRater
router,9router,npm,0.1666666666666666,243.0,decolua/9router
is-unicode-supported,@1n/is-unicode-supported,npm,0.1739130434782608,0.0,
dc-polyfill,1c-polyfill,npm,0.1818181818181817,0.0,
element-ui,3t-element-ui,npm,0.1818181818181817,0.0,
serialport,6qserialport,npm,0.1818181818181817,0.0,
slick-carousel,1x-slick-carousel,npm,0.1875,0.0,
babel-plugin-named-asset-import,@1o1w1/babel-plugin-named-asset-import,npm,0.1891891891891891,0.0,
interpret,0ainterpreter,npm,0.1999999999999999,0.0,
cacache,0cache,npm,0.1999999999999999,10.0,stimulsoft/Samples-Reports.JS-for-Node.js
serve,0server,npm,0.1999999999999999,47.0,Hombre2014/node-js-tutorial
batch,1batch,npm,0.1999999999999999,5.0,mapmeld/1batch
passport,1-passport,npm,0.2222222222222222,130.0,belev/HackBulgariaCourses
pnp-webpack-plugin,1-webpack-plugin,npm,0.2222222222222222,5.0,wojciech-lasota/npm-peer-solver
chart.js,17chart.js,npm,0.2222222222222222,0.0,
confusing-browser-globals,@1o1w1/confusing-browser-globals,npm,0.2258064516129032,0.0,
eslint-plugin-react,@0y0/eslint-plugin-react,npm,0.2272727272727273,2.0,o0y0o/f2e-dev-toolkit
babel-preset-react,@0y0/babel-preset-react,npm,0.2380952380952381,3.0,o0y0o/f2e-dev-toolkit
typescript,05-typescript,npm,0.25,27.0,Tech-Educators/software-dev-24
typescript,08-typescript,npm,0.25,21.0,angelogluz/Youtube-codes
flux,0flux,npm,0.25,2.0,reissbaker/zeroflux
type,0type,npm,0.25,854.0,babel/babel
http-server,1117http-server,npm,0.25,0.0,
electron,4lectron,npm,0.25,0.0,
readable-stream,4meme-readable-stream,npm,0.25,0.0,
express,5-express,npm,0.25,459.0,patika-hepsiburada-react-bootcamp/sources
buffers,6-buffers,npm,0.25,0.0,
text-extensions,8g-extension,npm,0.25,0.0,
args,9args,npm,0.25,1.0,convertigo/c8oprj-lib-verdaccio
eslint-config-react-app,@0xaio/eslint-config-react-app,npm,0.25,0.0,
eslint-config-react-app,@1o1w1/eslint-config-react-app,npm,0.25,0.0,
@vue/eslint-config-typescript,@1f8/eslint-config-typescript,npm,0.2580645161290322,1.0,1f8/eslint-nodejs-typescript
copy-webpack-plugin,1-webpack-plugin,npm,0.2631578947368421,5.0,wojciech-lasota/npm-peer-solver
html-webpack-plugin,1-webpack-plugin,npm,0.2631578947368421,5.0,wojciech-lasota/npm-peer-solver
to-readable-stream,4meme-readable-stream,npm,0.2777777777777778,0.0,
