popular_name,candidate_name,jaccard_distance,length_ratio
pdbp,bpdb,0.0,1.0
nvidia-cuda-nvrtc-cu11,nvidia-cuda-nvrtc-cu111,0.0,1.0454545454545454
automat,automato,0.0,1.1428571428571428
genderize,genderizer,0.0,1.1111111111111112
oboros,oroboros,0.0,1.3333333333333333
lxml,xmlx,0.0,1.0
django-nested-inline,django-nested-inlines,0.0,1.05
postgres,postgrest,0.0,1.125
pyop,yopy,0.0,1.0
opentelemetry-instrumentation-google-genai,opentelemetry-instrumentation-genai-google-genai,0.02857142857142858,1.1428571428571428
opentelemetry-instrumentation-openai-agents,opentelemetry-instrumentation-genai-openai-agents,0.02941176470588236,1.1395348837209303
opentelemetry-instrumentation-urllib3,opentelemetry-instrumentation-urllib,0.03125,1.0277777777777777
opentelemetry-instrumentation-psycopg,opentelemetry-instrumentation-psycopg2,0.03125,1.027027027027027
opentelemetry-instrumentation-urllib,opentelemetry-instrumentation-urllib3,0.03125,1.0277777777777777
opentelemetry-instrumentation-psycopg2,opentelemetry-instrumentation-psycopg,0.03125,1.027027027027027
opentelemetry-instrumentation-httpx,opentelemetry-instrumentation-httpx2,0.032258064516129004,1.0285714285714285
piot-fixture-zzz-python-no-rust,piot-fixture-zzz-python-no-rust-fp,0.033333333333333326,1.096774193548387
django-admin-autocomplete-filter,django-admin-autocomplete-filters,0.033333333333333326,1.03125
apache-airflow-providers-edge3,apache-airflow-providers-edge,0.03448275862068961,1.0344827586206897
types-aiobotocore-bedrock-agentcore,types-aiobotocore-bedrock-agent,0.03448275862068961,1.1290322580645162
types-aiobotocore-bedrock-agent,types-aiobotocore-bedrock-agentcore,0.03448275862068961,1.1290322580645162
google-cloud-alloydb-connector,google-cloud-alloydb-connectors,0.0357142857142857,1.0333333333333334
djangorestframework-guardian,djangorestframework-guardian2,0.038461538461538436,1.0357142857142858
sphinxcontrib-programoutput,sphinxcontrib-programoutput2,0.038461538461538436,1.037037037037037
djangorestframework-camel-case,djangorestframework-camel-case2,0.040000000000000036,1.0333333333333334
robotframework-imaplibrary2,robotframework-imaplibrary,0.040000000000000036,1.0384615384615385
djangorestframework-filters,djangorestframework-filter,0.040000000000000036,1.0384615384615385
aws-sns-message-validator,aws-sns-message-validator2,0.04166666666666663,1.04
mkdocs-material-extensions,mkdocs-material-extensions-2,0.04166666666666663,1.0769230769230769
django-password-validators,django-password-validator,0.04166666666666663,1.04
universal-analytics-python3,universal-analytics-python,0.04166666666666663,1.0384615384615385
chromedriver-autoinstaller,chromedriver-autoinstall,0.04166666666666663,1.0833333333333333
django-background-tasks,django-background-tasks4,0.04347826086956519,1.0434782608695652
streamlit-plotly-events,streamlit-plotly-events2,0.04347826086956519,1.0434782608695652
djangocms-text-ckeditor,djangocms-text-ckeditor5,0.04347826086956519,1.0434782608695652
django-admin-csvexport,django-admin-csvexport2,0.045454545454545414,1.0454545454545454
snowflake-snowpark-python,snowflake-snowpark-python3,0.045454545454545414,1.04
swagger-spec-validator,swagger-spec-validator3,0.045454545454545414,1.0454545454545454
django-background-tasks,django-background-task,0.045454545454545414,1.0454545454545454
django-dynamic-fixture,django-dynamic-fixtures,0.045454545454545414,1.0454545454545454
django-multiselectfield,django-multiselectfield2,0.045454545454545414,1.0434782608695652
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu115,0.04761904761904767,1.0416666666666667
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu113,0.04761904761904767,1.0416666666666667
undetected-chromedriver,undetected-chromedriver2,0.04761904761904767,1.0434782608695652
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu110,0.04761904761904767,1.0416666666666667
django-postgres-extra,xdjango-postgres-extra,0.04761904761904767,1.0476190476190477
django-admin-sortable2,django-admin-sortable,0.04761904761904767,1.0476190476190477
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu114,0.04761904761904767,1.0416666666666667
sphinxcontrib-napoleon,sphinxcontrib-napoleon2,0.04761904761904767,1.0454545454545454
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu112,0.04761904761904767,1.0416666666666667
django-bootstrap-form,django-bootstrap-forms,0.04761904761904767,1.0476190476190477
pydantic-to-typescript2,pydantic-to-typescript,0.04761904761904767,1.0454545454545454
nvidia-cuda-runtime-cu12,nvidia-cuda-runtime-cu112,0.04761904761904767,1.0416666666666667
django-logentry-admin,django-logentry-admin2,0.04761904761904767,1.0476190476190477
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu116,0.04761904761904767,1.0416666666666667
pydantic-to-typescript,pydantic-to-typescript2,0.04761904761904767,1.0454545454545454
opentelemetry-instrumentation-google-generativeai,opentelemetry-if-instrumentation-google-generativeai,0.04878048780487809,1.0612244897959184
llama-index-workflows,llama-index-workflow,0.050000000000000044,1.05
django-cache-memoize,django-cache-memoized,0.050000000000000044,1.05
sphinxcontrib-django,sphinxcontrib-django2,0.050000000000000044,1.05
python-documentcloud,python-documentcloud2,0.050000000000000044,1.05
django-datatables-view,django-datatables-views,0.050000000000000044,1.0454545454545454
pytorch-sphinx-theme2,pytorch-sphinx-theme,0.050000000000000044,1.05
mysql-connector-python,mysql-conector-python,0.050000000000000044,1.0476190476190477
marshmallow-dataclass,marshmallow-dataclass2,0.050000000000000044,1.0476190476190477
django-database-view,django-database-views,0.050000000000000044,1.05
opentelemetry-resource-detector-containerid,opentelemetry-resource-detector-container,0.05128205128205132,1.048780487804878
openapi-generator-cli,openapi-cli-generator,0.052631578947368474,1.0
django-registration,django-registration2,0.052631578947368474,1.0526315789473684
agent-framework-lab,agent-framework-labs,0.052631578947368474,1.0526315789473684
requests-unixsocket2,requests-unixsocket,0.052631578947368474,1.0526315789473684
mypy-boto3-inspector,mypy-boto3-inspector2,0.052631578947368474,1.05
google-play-scraper,google-play-scrapper,0.052631578947368474,1.0526315789473684
mypy-boto3-inspector2,mypy-boto3-inspector,0.052631578947368474,1.05
pytest-reporter-html1,pytest-reporter-html,0.052631578947368474,1.05
django-configurations,django-configuration,0.052631578947368474,1.05
aliyun-python-sdk-cs,aliyun-python-sdk-ccs,0.052631578947368474,1.05
aliyun-python-sdk-cs,aliyun-python-sdk-csb,0.052631578947368474,1.05
requests-unixsocket,requests-unixsocket2,0.052631578947368474,1.0526315789473684
nvidia-cusparse-cu11,nvidia-cusparse-cu113,0.05555555555555558,1.05
nvidia-cusparse-cu11,nvidia-cusparse-cu115,0.05555555555555558,1.05
opentelemetry-instrumentation-llamaindex,opentelemetry-if-instrumentation-llamaindex,0.05555555555555558,1.075
django-health-check,django-health-check2,0.05555555555555558,1.0526315789473684
nvidia-cuda-nvrtc-cu11,nvidia-cuda-nvrtc-cu110,0.05555555555555558,1.0454545454545454
nvidia-cusparse-cu11,nvidia-cusparse-cu114,0.05555555555555558,1.05
nvidia-cusparse-cu11,nvidia-cusparse-cu116,0.05555555555555558,1.05
nvidia-cusolver-cu11,nvidia-cusolver-cu110,0.05555555555555558,1.05
nvidia-cuda-nvrtc-cu11,nvidia-cuda-nvrtc-cu112,0.05555555555555558,1.0454545454545454
nvidia-cuda-nvrtc-cu11,nvidia-cuda-nvrtc-cu113,0.05555555555555558,1.0454545454545454
selenium-screenshot,selenium-screenshots,0.05555555555555558,1.0526315789473684
nvidia-cusolver-cu11,nvidia-cusolver-cu112,0.05555555555555558,1.05
aiohttp-sse-client,aiohttp-sse-client2,0.05555555555555558,1.0555555555555556
nvidia-cusolver-cu11,nvidia-cusolver-cu114,0.05555555555555558,1.05
starlette-graphene3,starlette-graphene,0.05555555555555558,1.0555555555555556
nvidia-cuda-nvrtc-cu11,nvidia-cuda-nvrtc-cu115,0.05555555555555558,1.0454545454545454
nvidia-cusparse-cu12,nvidia-cusparse-cu112,0.05555555555555558,1.05
nvidia-cusparse-cu11,nvidia-cusparse-cu110,0.05555555555555558,1.05
agent-client-protocol,agent-protocol-client,0.05555555555555558,1.0
pydantic-collections,pydantic-collection,0.05555555555555558,1.0526315789473684
graphene-federation,graphene-federation3,0.05555555555555558,1.0526315789473684
nvidia-cuda-nvrtc-cu12,nvidia-cuda-nvrtc-cu112,0.05555555555555558,1.0454545454545454
nvidia-cuda-nvrtc-cu11,nvidia-cuda-nvrtc-cu116,0.05555555555555558,1.0454545454545454
aiohttp-sse-client2,aiohttp-sse-client,0.05555555555555558,1.0555555555555556
opentelemetry-instrumentation-transformers,opentelemetry-if-instrumentation-transformers,0.05555555555555558,1.0714285714285714
django-bulk-update,django-bulk-updater,0.05555555555555558,1.0555555555555556
nvidia-cusolver-cu11,nvidia-cusolver-cu113,0.05555555555555558,1.05
nvidia-cuda-nvrtc-cu11,nvidia-cuda-nvrtc-cu114,0.05555555555555558,1.0454545454545454
nvidia-cusolver-cu11,nvidia-cusolver-cu115,0.05555555555555558,1.05
nvidia-cusolver-cu12,nvidia-cusolver-cu112,0.05555555555555558,1.05
nvidia-cusparse-cu11,nvidia-cusparse-cu112,0.05555555555555558,1.05
nvidia-cusolver-cu11,nvidia-cusolver-cu116,0.05555555555555558,1.05
opentelemetry-instrumentation-chromadb,opentelemetry-if-instrumentation-chromadb,0.05714285714285716,1.0789473684210527
airflow-provider-great-expectations,airflow-provider-great-expectations-cta,0.05714285714285716,1.1142857142857143
opentelemetry-instrumentation-langchain,opentelemetry-if-instrumentation-langchain,0.05714285714285716,1.0769230769230769
azure-monitor-opentelemetry-exporter,azure-opentelemetry-exporter-azuremonitor,0.05882352941176472,1.1388888888888888
streamlit-echarts,streamlit-echarts5,0.05882352941176472,1.0588235294117647
opentelemetry-instrumentation-replicate,opentelemetry-if-instrumentation-replicate,0.05882352941176472,1.0769230769230769
opentelemetry-instrumentation-vertexai,opentelemetry-if-instrumentation-vertexai,0.05882352941176472,1.0789473684210527
elasticsearch-dsl,elasticsearch-dsl7,0.05882352941176472,1.0588235294117647
singleton-decorator,singleton-decorator1,0.05882352941176472,1.0526315789473684
nvidia-cuda-cupti-cu11,nvidia-cuda-cupti-cu112,0.05882352941176472,1.0454545454545454
partial-json-parser,vl-partial-json-parser,0.05882352941176472,1.1578947368421053
argparse-dataclass,argparse-dataclasses,0.05882352941176472,1.1111111111111112
opentelemetry-instrumentation-mistralai,opentelemetry-if-instrumentation-mistralai,0.05882352941176472,1.0769230769230769
django-soft-delete,soft-django-delete,0.05882352941176472,1.0
nvidia-cuda-cupti-cu11,nvidia-cuda-cupti-cu116,0.05882352941176472,1.0454545454545454
django-invitations,django-invitation,0.05882352941176472,1.0588235294117647
nvidia-cuda-cupti-cu11,nvidia-cuda-cupti-cu113,0.05882352941176472,1.0454545454545454
django-dirtyfields,django-dirtyfield,0.05882352941176472,1.0588235294117647
dependency-injector,dependency-injector2,0.05882352941176472,1.0526315789473684
nvidia-cuda-nvcc-cu12,nvidia-cuda-nvcc-cu112,0.05882352941176472,1.0476190476190477
nvidia-cuda-cupti-cu11,nvidia-cuda-cupti-cu114,0.05882352941176472,1.0454545454545454
django-enumfields,django-enumfields2,0.05882352941176472,1.0588235294117647
nvidia-cuda-cupti-cu12,nvidia-cuda-cupti-cu112,0.05882352941176472,1.0454545454545454
opentelemetry-instrumentation-anthropic,opentelemetry-if-instrumentation-anthropic,0.05882352941176472,1.0769230769230769
sqlalchemy-filters,sqlalchemy-filter,0.05882352941176472,1.0588235294117647
django-bootstrap5,django-bootstrap5r,0.05882352941176472,1.0588235294117647
opentelemetry-instrumentation-bedrock,opentelemetry-if-instrumentation-bedrock,0.05882352941176472,1.0810810810810811
opentelemetry-instrumentation-together,opentelemetry-if-instrumentation-together,0.05882352941176472,1.0789473684210527
drf-orjson-renderer,drf-orjson-renderer2,0.05882352941176472,1.0526315789473684
azure-monitor-opentelemetry-exporter,opentelemetry-azure-monitor-exporter,0.05882352941176472,1.0
nvidia-cuda-cupti-cu11,nvidia-cuda-cupti-cu110,0.05882352941176472,1.0454545454545454
databricks-bundles,databricks-bundle,0.05882352941176472,1.0588235294117647
elastic-transport,elastic-transports,0.05882352941176472,1.0588235294117647
django-multitenant,django-multitenants,0.05882352941176472,1.0555555555555556
python-quickbooks,python-quickbooks3,0.05882352941176472,1.0588235294117647
charset-normalizer,harset-normalizer,0.05882352941176472,1.0588235294117647
nvidia-cuda-cupti-cu11,nvidia-cuda-cupti-cu115,0.05882352941176472,1.0454545454545454
pytest-playwright,pytest-playwrights,0.05882352941176472,1.0588235294117647
aws-cdk-aws-kinesisanalytics-flink-alpha,aws-cdk.aws-kinesisanalytics-flink-alpha,0.06060606060606055,1.0
opentelemetry-instrumentation-ollama,opentelemetry-if-instrumentation-ollama,0.06060606060606055,1.0833333333333333
opentelemetry-instrumentation-weaviate,opentelemetry-if-instrumentation-weaviate,0.06060606060606055,1.0789473684210527
apache-airflow-providers-common-io,apache-airflow-providers-common-ai,0.06060606060606055,1.0
opentelemetry-instrumentation-alephalpha,opentelemetry-if-instrumentation-alephalpha,0.06060606060606055,1.075
opentelemetry-instrumentation-haystack,opentelemetry-if-instrumentation-haystack,0.06060606060606055,1.0789473684210527
apache-airflow-providers-common-ai,apache-airflow-providers-common-io,0.06060606060606055,1.0
apache-airflow-providers-common-ai,apache-airflow-providers-common-compat,0.06060606060606055,1.1176470588235294
opentelemetry-instrumentation-milvus,opentelemetry-if-instrumentation-milvus,0.06060606060606055,1.0833333333333333
opentelemetry-instrumentation-cohere,opentelemetry-if-instrumentation-cohere,0.06060606060606055,1.0833333333333333
apache-airflow-providers-common-compat,apache-airflow-providers-common-ai,0.06060606060606055,1.1176470588235294
python-interface,python-interfaces,0.0625,1.0625
segment-anything,segment-anythingv,0.0625,1.0625
django-bootstrap3,django-bootstrap,0.0625,1.0625
django-bootstrap5,django-bootstrap,0.0625,1.0625
django-jsonfield,django-jsonfieldI,0.0625,1.0625
nvidia-cublas-cu12,nvidia-cublas-cu112,0.0625,1.0555555555555556
opentelemetry-instrumentation-pinecone,opentelemetry-if-instrumentation-pinecone,0.0625,1.0789473684210527
django-enumfields,django-enumfield,0.0625,1.0625
nvidia-nccl-cu13,nvidia-nccl-cu113,0.0625,1.0625
django-jsonfield,django-jsonfield2,0.0625,1.0625
nvidia-cublas-cu11,nvidia-cublas-cu112,0.0625,1.0555555555555556
huaweicloudsdkecs,huaweicloudsdkec,0.0625,1.0625
nvidia-curand-cu11,nvidia-curand-cu116,0.0625,1.0555555555555556
gevent-websocket,gevent-websocket2,0.0625,1.0625
nvidia-cublas-cu11,nvidia-cublas-cu114,0.0625,1.0555555555555556
simple-websocket,simple-websockets,0.0625,1.0625
django-recaptcha,django-recaptcha3,0.0625,1.0625
nvidia-curand-cu11,nvidia-curand-cu113,0.0625,1.0555555555555556
django-ratelimit,django-ratelimit2,0.0625,1.0625
django-ratelimit,django-ratelimit3,0.0625,1.0625
nvidia-nccl-cu11,nvidia-nccl-cu112,0.0625,1.0625
multipledispatch,multipledispatch2,0.0625,1.0625
nvidia-nccl-cu11,nvidia-nccl-cu113,0.0625,1.0625
nvidia-curand-cu11,nvidia-curand-cu115,0.0625,1.0555555555555556
nvidia-curand-cu11,nvidia-curand-cu110,0.0625,1.0555555555555556
nvidia-nccl-cu11,nvidia-nccl-cu115,0.0625,1.0625
nvidia-cublas-cu11,nvidia-cublas-cu115,0.0625,1.0555555555555556
social-auth-core,social-auth-core2,0.0625,1.0625
nvidia-nccl-cu11,nvidia-nccl-cu116,0.0625,1.0625
pytest-codeblocks,pytest-codeblock,0.0625,1.0625
pytorch-optimizer,pytorch-optimize,0.0625,1.0625
python-constraint,python-constraint2,0.0625,1.0588235294117647
mypy-boto3-macie2,mypy-boto3-macie,0.0625,1.0625
clickhouse-toolset,clickhouse-tools,0.0625,1.125
opentelemetry-instrumentation-marqo,opentelemetry-if-instrumentation-marqo,0.0625,1.0857142857142856
websocket-client,websocket-client2,0.0625,1.0625
face-recognition,face-recognitioniiti,0.0625,1.25
django-ratelimit,django-ratelimit9,0.0625,1.0625
google-cloud-ndb,google-cloud-ndbm,0.0625,1.0625
nvidia-nccl-cu11,nvidia-nccl-cu110,0.0625,1.0625
elastic-transport,elastic-transpor,0.0625,1.0625
django-markdownx,django-markdownx3,0.0625,1.0625
django-ratelimit,django-ratelimiter,0.0625,1.125
nvidia-curand-cu11,nvidia-curand-cu112,0.0625,1.0555555555555556
stable-baselines3,stable-baselines,0.0625,1.0625
django-bootstrap4,django-bootstrap,0.0625,1.0625
nvidia-cublas-cu11,nvidia-cublas-cu113,0.0625,1.0555555555555556
nvidia-nccl-cu11,nvidia-nccl-cu114,0.0625,1.0625
flask-mongoengine,flask-mongoengine2,0.0625,1.0588235294117647
nvidia-cublas-cu11,nvidia-cublas-cu116,0.0625,1.0555555555555556
django-components,django-component,0.0625,1.0625
nvidia-cublas-cu11,nvidia-cublas-cu110,0.0625,1.0555555555555556
opentelemetry-instrumentation-qdrant,opentelemetry-if-instrumentation-qdrant,0.0625,1.0833333333333333
asyncio-throttle,asyncio-throttler,0.0625,1.0625
django-admin-logs,django-admin-log,0.0625,1.0625
nvidia-curand-cu12,nvidia-curand-cu112,0.0625,1.0555555555555556
better-exceptions,better-exception,0.0625,1.0625
pytest-recording,pytest-recordings,0.0625,1.0625
django-recaptcha,django-recaptcha2,0.0625,1.0625
nvidia-curand-cu11,nvidia-curand-cu114,0.0625,1.0555555555555556
opentelemetry-instrumentation-watsonx,opentelemetry-if-instrumentation-watsonx,0.0625,1.0810810810810811
sortedcollections,sortedcollection,0.0625,1.0625
django-recurrence,django-recurrences,0.0625,1.0588235294117647
nvidia-nccl-cu12,nvidia-nccl-cu112,0.0625,1.0625
apache-airflow-providers-oracle,apache-airflow-providers-oracle-oci,0.06451612903225812,1.1290322580645162
recognizers-text-number-with-unit,ms-recognizers-text-number-with-unit,0.06451612903225812,1.0909090909090908
apache-airflow-providers-oracle,apache-airflow-providers-oracle-db,0.06451612903225812,1.096774193548387
nvidia-nvtx-cu12,nvidia-nvtx-cu112,0.06666666666666665,1.0625
aiohttp-swagger3,aiohttp-swagger,0.06666666666666665,1.0666666666666667
databricks-pypi1,databricks-pypi,0.06666666666666665,1.0666666666666667
nvidia-cudnn-cu12,nvidia-cudnn-cu112,0.06666666666666665,1.0588235294117647
nvidia-nvtx-cu11,nvidia-nvtx-cu115,0.06666666666666665,1.0625
agent-framework-azurefunctions,azurefunctions-agent-framework,0.06666666666666665,1.0
pydantic-partial,pydantic-partials,0.06666666666666665,1.0625
nvidia-cudnn-cu11,nvidia-cudnn-cu110,0.06666666666666665,1.0588235294117647
python-markdown-math,python-markdown,0.06666666666666665,1.3333333333333333
django-graphiql-debug-toolbar,fingo-django-graphiql-debug-toolbar,0.06666666666666665,1.206896551724138
nvidia-nvtx-cu11,nvidia-nvtx-cu113,0.06666666666666665,1.0625
databricks-pypi2,databricks-pypi,0.06666666666666665,1.0666666666666667
django-sslserver,django-sslserver2,0.06666666666666665,1.0625
nvidia-cudnn-cu13,nvidia-cudnn-cu113,0.06666666666666665,1.0588235294117647
nvidia-cufft-cu11,nvidia-cufft-cu114,0.06666666666666665,1.0588235294117647
nvidia-cufft-cu11,nvidia-cufft-cu116,0.06666666666666665,1.0588235294117647
jupyter-mcp-server,jupyter-server-mcp,0.06666666666666665,1.0
redis-mcp-server,redis-mcp-server3,0.06666666666666665,1.0625
fastapi-limiter,fastapi-limiterx,0.06666666666666665,1.0666666666666667
nvidia-cufft-cu12,nvidia-cufft-cu112,0.06666666666666665,1.0588235294117647
opentelemetry-instrumentation-openai,opentelemetry-if-instrumentation-openai,0.06666666666666665,1.0833333333333333
nvidia-cudnn-cu11,nvidia-cudnn-cu116,0.06666666666666665,1.0588235294117647
nvidia-nvtx-cu11,nvidia-nvtx-cu112,0.06666666666666665,1.0625
nvidia-cufft-cu11,nvidia-cufft-cu112,0.06666666666666665,1.0588235294117647
nvidia-nvtx-cu11,nvidia-nvtx-cu110,0.06666666666666665,1.0625
nvidia-cufft-cu11,nvidia-cufft-cu115,0.06666666666666665,1.0588235294117647
mysql-mcp-server,mysql-mcp-server1,0.06666666666666665,1.0625
mcp-server-fetch,mcp-server-fetch2,0.06666666666666665,1.0625
nvidia-cudnn-cu11,nvidia-cudnn-cu112,0.06666666666666665,1.0588235294117647
tree-sitter-lua,tree-sitter-luau,0.06666666666666665,1.0666666666666667
nvidia-cufft-cu11,nvidia-cufft-cu113,0.06666666666666665,1.0588235294117647
agent-framework,wagent-framework,0.06666666666666665,1.0666666666666667
nvidia-cudnn-cu11,nvidia-cudnn-cu114,0.06666666666666665,1.0588235294117647
hdijupyterutils,hdijupyterutils3,0.06666666666666665,1.0666666666666667
python-mecab-ko,python-mecab-kor,0.06666666666666665,1.0666666666666667
django-sequences,django-sequence,0.06666666666666665,1.0666666666666667
nvidia-nvtx-cu11,nvidia-nvtx-cu114,0.06666666666666665,1.0625
mkdocs-material,mkdocs-materialx,0.06666666666666665,1.0666666666666667
django-markdownx,django-markdown,0.06666666666666665,1.0666666666666667
uptime-kuma-api,uptime-kuma-api2,0.06666666666666665,1.0666666666666667
zi-api-auth-client,auth-api-client,0.06666666666666665,1.2
mysql-mcp-server,mysql-mcp-server3,0.06666666666666665,1.0625
nvidia-cudnn-cu11,nvidia-cudnn-cu115,0.06666666666666665,1.0588235294117647
pytorch-wavelets,pytorch-wavelet,0.06666666666666665,1.0666666666666667
nvidia-cufft-cu11,nvidia-cufft-cu110,0.06666666666666665,1.0588235294117647
django-ckeditor,django-ckeditor5,0.06666666666666665,1.0666666666666667
django-ckeditor,django-ckeditors,0.06666666666666665,1.0666666666666667
xinference-client,inference-client,0.06666666666666665,1.0625
django-jsonform,django-jsonforms,0.06666666666666665,1.0666666666666667
analytics-python,qanalytics-python,0.06666666666666665,1.0625
django-pipeline,django-pipelines,0.06666666666666665,1.0666666666666667
nvidia-cudnn-cu11,nvidia-cudnn-cu113,0.06666666666666665,1.0588235294117647
nvidia-nvtx-cu11,nvidia-nvtx-cu116,0.06666666666666665,1.0625
property-manager,property-manager3,0.06666666666666665,1.0625
flask-bootstrap,flask-bootstrap5,0.06666666666666665,1.0666666666666667
pytest-regressions,pytest-regression,0.06666666666666665,1.0588235294117647
cloudshell-shell-core,cloudshell-core,0.06666666666666665,1.4
aiohttp-swagger,aiohttp-swagger3,0.06666666666666665,1.0666666666666667
cloudshell-core,cloudshell-shell-core,0.06666666666666665,1.4
scikit-optimize,scikit-optimizer,0.06666666666666665,1.0666666666666667
microsoft-agents-hosting-teams,microsoft-agents-hosting-msteams,0.06896551724137934,1.0666666666666667
grpc-gateway-protoc-gen-openapiv2,grpc-gateway-protoc-openapiv2,0.06896551724137934,1.1379310344827587
spotinst-agent,spotinst-agent-2,0.0714285714285714,1.1428571428571428
cuequivariance-ops-torch-cu12,cuequivariance-ops-torch-cu13,0.0714285714285714,1.0
spotinst-agent-2,spotinst-agent,0.0714285714285714,1.1428571428571428
fastapi-filter,fastapi-filters,0.0714285714285714,1.0714285714285714
mcp-clickhouse,mcp-clickhousex,0.0714285714285714,1.0714285714285714
